# MEAN_SAMPLE_SIZE = 55526
# TOTAL_GENES = 17182
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17182    -0.016122    -0.032128      0.01061      0.93567 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17182    -0.024807    -0.048107     0.010967      0.98814 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17182  -0.00044798  -0.00086375    0.0099156      0.51802 Adrenal_Gland
Artery_Aorta                        COVAR   17182    -0.021322    -0.043455     0.010007      0.98344 Artery_Aorta
Artery_Coronary                     COVAR   17182    -0.023411    -0.046529     0.011616      0.97807 Artery_Coronary
Artery_Tibial                       COVAR   17182    -0.013263    -0.027274    0.0098271      0.91142 Artery_Tibial
Bladder                             COVAR   17182      -0.0362    -0.070422     0.012883      0.99752 Bladder
Brain_Amygdala                      COVAR   17182     0.015186      0.02584    0.0076924     0.024191 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17182     0.014204     0.025057    0.0070962      0.02267 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17182     0.015762     0.027191    0.0077333     0.020771 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17182     0.014624      0.02932    0.0059801    0.0072391 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17182     0.016336     0.032397    0.0061707    0.0040595 Brain_Cerebellum
Brain_Cortex                        COVAR   17182     0.015428     0.028096    0.0070261     0.014057 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17182     0.012695     0.023358    0.0067717     0.030423 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17182     0.016167     0.027341    0.0078231     0.019396 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17182     0.017976     0.030895    0.0079438     0.011829 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17182     0.016243     0.028146    0.0074592     0.014725 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17182      0.01585     0.026942     0.007789     0.020938 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17182     0.014703     0.026389    0.0084897     0.041664 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17182     0.015537     0.026714    0.0084201     0.032509 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17182    -0.025574    -0.049086     0.012448      0.98002 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17182  -0.00062504   -0.0013381    0.0064564      0.53856 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17182   -0.0022602   -0.0049313    0.0048208      0.68041 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17182    -0.010466    -0.020477     0.011881       0.8108 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17182    -0.021283    -0.042049     0.011341      0.96971 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17182    -0.019114    -0.037334     0.012351      0.93913 Colon_Sigmoid
Colon_Transverse                    COVAR   17182   -0.0072783    -0.013357      0.01135      0.73932 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17182    -0.019842    -0.039001     0.012717      0.94064 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17182   -0.0015661    -0.003023    0.0074832      0.58289 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17182    -0.017141    -0.033761     0.012333      0.91771 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17182    -0.019057    -0.036893     0.011651      0.94903 Fallopian_Tube
