annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	11	0.00486510393631137	0.511250821725048	0.0219672677061511
UTR5	46406	0.00284084213467316	10	0.00442282176028306	1.5568699528571	0.161120910038301
downstream	184076	0.0112686044214562	19	0.00840336134453781	0.745732215831202	0.230760297646119
exonic	157410	0.00963618843293758	7	0.00309597523219814	0.321286290087038	0.000492630578298609
intergenic	7340829	0.449384483183869	933	0.41264927023441	0.918254380549163	0.000447161364418329
intronic	6228556	0.38129432234994	843	0.372843874391862	0.977837467114649	0.410761805449675
ncRNA_exonic	164533	0.0100722380499112	23	0.010172490048651	1.00995329918168	0.915980705454912
ncRNA_intronic	1884461	0.115361294012591	394	0.174259177355153	1.51055151423781	1.74131932972283e-16
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	0	0	0	1
upstream	171164	0.0104781688389259	21	0.00928792569659443	0.886407333129642	0.678964454715383
