# MEAN_SAMPLE_SIZE = 64163
# TOTAL_GENES = 18811
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      58     0.090262    0.0050044      0.12607      0.23701 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      29     0.050775    0.0019921      0.14183      0.36018 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      23      0.36018     0.012587      0.19677       0.0336 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      28     0.025022   0.00096469      0.22203      0.45514 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      32    -0.081321   -0.0033513      0.14431      0.71345 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      25      0.35787     0.013038      0.17494       0.0204 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      25      -0.3056    -0.011134      0.26529      0.87532 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      40    -0.041882   -0.0019293      0.13384      0.62283 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      15       0.1645    0.0046436       0.2198      0.22711 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      16     0.081577    0.0023782      0.22298      0.35724 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      53    -0.021847    -0.001158      0.13784      0.56297 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     116     0.065462    0.0051249       0.0781      0.20097 Curated_gene_sets:kegg_oxidative_phosphorylation
