# MEAN_SAMPLE_SIZE = 42516
# TOTAL_GENES = 17182
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17182   -0.0041693   -0.0081729     0.013725      0.61935
Adrenal_Gland       COVAR   17182    0.0078032     0.015045     0.010591      0.23063
Bladder             COVAR   17182    -0.029594    -0.057571     0.016461      0.96389
Blood               COVAR   17182   -0.0057122    -0.010259    0.0062787      0.81852
Blood_Vessel        COVAR   17182   0.00074383    0.0015072      0.01194      0.47516
Brain               COVAR   17182     0.022092     0.038315    0.0069918   0.00079114
Breast              COVAR   17182    -0.013496    -0.025904     0.016244      0.79697
Cervix_Uteri        COVAR   17182     0.034747      0.06813     0.014442    0.0080697
Colon               COVAR   17182    -0.021512    -0.040193      0.01618      0.90815
Esophagus           COVAR   17182    -0.036318    -0.068297     0.017536      0.98082
Fallopian_Tube      COVAR   17182   -0.0073563    -0.014241     0.014211      0.69764
Heart               COVAR   17182   -0.0098076    -0.016863    0.0099016      0.83903
Kidney              COVAR   17182  -0.00053056  -0.00093219    0.0097001      0.52181
Liver               COVAR   17182   -0.0020371    -0.003667    0.0067225      0.61906
Lung                COVAR   17182   -0.0076292    -0.014719     0.010772      0.76059
Muscle              COVAR   17182   -0.0036061   -0.0068201    0.0070604      0.69523
Nerve               COVAR   17182     0.012202     0.024511     0.010678      0.12659
Ovary               COVAR   17182     0.022574     0.045701     0.010509     0.015859
Pancreas            COVAR   17182    -0.018206     -0.03043    0.0089616      0.97889
Pituitary           COVAR   17182     0.018846     0.035063    0.0085456     0.013723
Prostate            COVAR   17182   -0.0011616   -0.0021993      0.01417      0.53267
Salivary_Gland      COVAR   17182    -0.029564    -0.054914     0.011058      0.99624
Skin                COVAR   17182   -0.0085498    -0.016274     0.010218      0.79862
Small_Intestine     COVAR   17182    -0.018522    -0.033991     0.011019      0.95359
Spleen              COVAR   17182    0.0029365     0.005812    0.0079951       0.3567
Stomach             COVAR   17182    -0.025977    -0.047121     0.013911      0.96907
Testis              COVAR   17182    0.0062339     0.010738    0.0057145      0.13767
Thyroid             COVAR   17182     0.011398     0.022532      0.01105      0.15118
Uterus              COVAR   17182     0.018457     0.037543     0.012227     0.065593
Vagina              COVAR   17182   -0.0033614   -0.0064146     0.012847       0.6032
