ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000172260	NEGR1	1	71861623	72748417	-1	protein_coding	257194	NEGR1	0.951349394977358	-1.713579543	83	17.04	5.65598e-09	rs2821254;rs2815748	2
ENSG00000163050	ADCK3	1	227085237	227175246	1	protein_coding	56997	ADCK3	1.23500239562904e-05	0.831024079	18	6.897	8.09607e-07	rs34653494	5
ENSG00000143776	CDC42BPA	1	227177566	227506175	-1	protein_coding	8476	CDC42BPA	0.99992014796463	1.284365222	122	15.41	3.75505e-06	rs34653494	5
ENSG00000151779	NBAS	2	15307032	15701454	-1	protein_coding	51594	NBAS	1.89431039938141e-25	-0.328281022	96	14.6	8.80016e-07	rs6731789	6
ENSG00000178568	ERBB4	2	212240446	213403565	-1	protein_coding	2066	ERBB4	0.999900653614005	2.8033432	5	11.82	5.44485e-07	rs1439253	8
ENSG00000196639	HRH1	3	11178779	11305243	1	protein_coding	3269	HRH1	0.00156116787120129	-0.576952122	14	9.558	1.64808e-07	rs10470636;rs429454	9
ENSG00000197548	ATG7	3	11313995	11599139	1	protein_coding	10533	ATG7	1.52666137074291e-05	-0.772740394	4	19.56	2.3803e-05	rs429454	9
ENSG00000109184	DCUN1D4	4	52709166	52783003	1	protein_coding	23142	DCUN1D4	0.160650285832102	-1.162968382	2	16.44	7.42767e-06	rs35746702	11
ENSG00000163069	SGCB	4	52886872	52904648	-1	protein_coding	6443	SGCB	0.00360015162466118	-1.055051462	1	1.997	7.85928e-06	rs35746702	11
ENSG00000163071	SPATA18	4	52917497	52963458	1	protein_coding	132671	SPATA18	1.02781168487922e-11	-0.835941981	1	2.97	2.30951e-07	rs35746702	11
ENSG00000218336	TENM3	4	183065140	183724177	1	protein_coding	55714	TENM3	0.999937943986087	0.558316153	10	18.03	8.18157e-07	rs2597158	12
ENSG00000186314	PRELID2	5	144851362	145214932	-1	protein_coding	153768	PRELID2	1.73073934677441e-05	0.480158135	269	16.11	4.27491e-07	rs1560685	14
ENSG00000197279	ZNF165	6	28048753	28057341	1	protein_coding	7718	ZNF165	0.000563292029886091	0.227981468	1	4.633	0.000700455	6:29017743_AT_A	15
ENSG00000196812	ZSCAN16	6	28092338	28097860	1	protein_coding	80345	ZSCAN16	2.67303498489914e-06	0.184187397	1	0.155	0.000583358	6:29017743_AT_A	15
ENSG00000198315	ZKSCAN8	6	28109688	28127250	1	protein_coding	7745	ZKSCAN8	0.000231594506551783	-0.142528224	1	17.5	0.000977118	6:29017743_AT_A	15
ENSG00000137185	ZSCAN9	6	28192664	28201260	1	protein_coding	7746	ZSCAN9	4.10248860506101e-08	0.461166178	1	11.03	0.000993381	6:29017743_AT_A	15
ENSG00000187626	ZKSCAN4	6	28212401	28227011	-1	protein_coding	387032	ZKSCAN4	6.74288454800845e-05	0.661631344	1	11.03	0.000993381	6:29017743_AT_A	15
ENSG00000137338	PGBD1	6	28249314	28270326	1	protein_coding	84547	PGBD1	1.46735073363618e-05	-0.0800605	1	3.993	0.000647628	6:29017743_AT_A	15
ENSG00000235109	ZSCAN31	6	28292470	28324048	-1	protein_coding	64288	ZSCAN31	3.7712697083703e-09	1.107125092	3	7.168	0.00062556	6:29017743_AT_A	15
ENSG00000189298	ZKSCAN3	6	28317691	28336947	1	protein_coding	80317	ZKSCAN3	0.000122608322341288	-0.65244291	1	6.048	0.000102873	6:29017743_AT_A	15
ENSG00000158691	ZSCAN12	6	28346732	28367511	-1	protein_coding	9753	ZSCAN12	1.43991732878074e-05	NA	1	6.048	0.000102873	6:29017743_AT_A	15
ENSG00000187987	ZSCAN23	6	28399707	28411279	-1	protein_coding	222696	ZSCAN23	0.00270295085017911	0.070656525	2	8.304	7.99578e-05	6:29017743_AT_A	15
ENSG00000198704	GPX6	6	28471073	28495992	-1	protein_coding	257202	GPX6	3.13757952195529e-05	0.718702709	2	0.816	NA	6:29017743_AT_A	15
ENSG00000224586	GPX5	6	28493702	28502729	1	protein_coding	2880	GPX5	0.00888467745572368	0.354876486	1	0.816	NA	6:29017743_AT_A	15
ENSG00000232040	SCAND3	6	28539407	28583989	-1	protein_coding	114821	SCAND3	9.70724396864633e-09	-0.785031462	4	1.141	3.00197e-06	6:29017743_AT_A	15
ENSG00000204713	TRIM27	6	28870779	28891766	-1	protein_coding	5987	TRIM27	0.878751858118275	-0.142067713	8	8.618	2.81774e-06	6:29017743_AT_A	15
ENSG00000204709	C6orf100	6	28911654	28912314	1	protein_coding	729583	C6orf100	NA	NA	5	19.33	5.06287e-06	6:29017743_AT_A	15
ENSG00000197935	ZNF311	6	28962562	28973093	-1	protein_coding	282890	ZNF311	0.000129446471411909	0.377857886	7	8.584	1.90299e-06	6:29017743_AT_A	15
ENSG00000204704	OR2W1	6	29011990	29013017	-1	protein_coding	26692	OR2W1	0.0865618905271982	0.531528388	11	11.65	6.52856e-07	6:29017743_AT_A	15
ENSG00000204703	OR2B3	6	29053985	29055090	-1	protein_coding	442184	OR2B3	0.0013369321318042	0.458839963	3	11.79	1.00806e-06	6:29017743_AT_A	15
ENSG00000204702	OR2J1	6	29068386	29069658	1	protein_coding	442185	OR2J1	0.0174945019459341	NA	6	11.79	1.00029e-06	6:29017743_AT_A	15
ENSG00000204701	OR2J3	6	29079668	29080603	1	protein_coding	442186	OR2J3	0.0281435008681581	0.112859372	6	8.16	1.00029e-06	6:29017743_AT_A	15
ENSG00000204700	OR2J2	6	29141311	29142351	1	protein_coding	26707	OR2J2	0.0107267189301636	0.271259236	4	6.723	8.71034e-07	6:29017743_AT_A	15
ENSG00000204695	OR14J1	6	29274403	29275519	1	protein_coding	442191	OR14J1	8.02406099709927e-08	1.335471591	3	10.62	1.40452e-06	6:29017743_AT_A	15
ENSG00000243729	OR5V1	6	29323007	29399744	-1	protein_coding	81696	OR5V1	0.00344261897900665	0.32363506	7	10.89	1.57999e-06	rs29242;6:29017743_AT_A	15
ENSG00000112462	OR12D3	6	29341200	29343068	-1	protein_coding	81797	OR12D3	1.34136303903671e-05	0.883548764	4	8.967	1.57999e-06	rs29242;6:29017743_AT_A	15
ENSG00000204694	OR11A1	6	29393281	29424848	-1	protein_coding	26531	OR11A1	0.0434844025575059	1.230255274	2	10.89	0.000118218	rs29242;6:29017743_AT_A	15
ENSG00000206474	OR10C1	6	29407083	29408731	1	protein_coding	442194	OR10C1	0.227592079399406	0.363897038	2	10.89	0.000118218	rs29242;6:29017743_AT_A	15
ENSG00000204687	MAS1L	6	29454474	29455738	-1	protein_coding	116511	MAS1L	0.000466205666114264	0.689547747	3	9.352	0.000125446	rs29242;6:29017743_AT_A	15
ENSG00000213886	UBD	6	29523292	29527702	-1	protein_coding	10537	UBD	0.0798957514124674	0.401530797	1	9.331	7.02633e-05	rs29242	15
ENSG00000204681	GABBR1	6	29523406	29601753	-1	protein_coding	2550	GABBR1	0.999969901472702	0.238892484	39	11.61	1.97041e-07	rs29242	15
ENSG00000204657	OR2H2	6	29555683	29556745	1	protein_coding	7932	OR2H2	0.0899459247726437	0.69683603	16	11.61	1.0897e-06	rs29242	15
ENSG00000090263	MRPS33	7	140705854	140715028	-1	protein_coding	51650	MRPS33	0.00339571782411825	0.268392925	18	12.35	8.00948e-07	rs10265001	17
