GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	62	11	292485	0.55181	0.29054	SAMD11
ENSG00000268179	1	861264	866445	21	4	292485	0.40991	0.34094	AL645608.1
ENSG00000188976	1	879584	894689	50	6	292485	0.88542	0.18797	NOC2L
ENSG00000187961	1	895967	901095	28	5	292485	1.0267	0.15228	KLHL17
ENSG00000187583	1	901877	911245	24	8	292485	-0.2257	0.58928	PLEKHN1
ENSG00000187642	1	910579	917497	21	5	292485	-0.8281	0.79619	C1orf170
ENSG00000188290	1	934342	935552	4	2	292485	0.54111	0.29421	HES4
ENSG00000187608	1	948803	949920	6	2	292485	-1.5406	0.93829	ISG15
ENSG00000188157	1	955503	991496	95	10	292485	-0.67105	0.74891	AGRN
ENSG00000237330	1	1006346	1009687	7	2	292485	-0.19668	0.57796	RNF223
ENSG00000131591	1	1017198	1051741	118	10	292485	1.3095	0.095184	C1orf159
ENSG00000162571	1	1109264	1133315	146	16	292485	-0.87406	0.80896	TTLL10
ENSG00000186891	1	1138888	1142071	8	2	292485	0.77482	0.21922	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	292485	-1.066	0.85678	TNFRSF4
ENSG00000078808	1	1152288	1167411	95	4	292485	0.39287	0.34721	SDF4
ENSG00000176022	1	1167629	1170421	7	2	292485	0.1153	0.45411	B3GALT6
ENSG00000184163	1	1177826	1182102	12	2	292485	-0.19793	0.57845	FAM132A
ENSG00000160087	1	1189289	1209265	63	9	292485	0.30125	0.38161	UBE2J2
ENSG00000162572	1	1215816	1227409	44	12	292485	0.62876	0.26475	SCNN1D
ENSG00000131584	1	1227756	1244989	61	10	292485	1.1834	0.11832	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	292485	0.99803	0.15913	PUSL1
ENSG00000127054	1	1246965	1260071	16	3	292485	1.7712	0.038262	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	292485	0.56873	0.28477	GLTPD1
ENSG00000169962	1	1266694	1270686	14	4	292485	2.5636	0.0051797	TAS1R3
ENSG00000107404	1	1270656	1284730	41	7	292485	2.0494	0.02021	DVL1
ENSG00000162576	1	1288069	1297157	30	4	292485	1.2431	0.10691	MXRA8
ENSG00000175756	1	1309110	1310875	6	3	292485	1.5285	0.063192	AURKAIP1
ENSG00000221978	1	1321091	1334708	22	5	292485	0.21289	0.41571	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	292485	-0.48618	0.68658	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	15	5	292485	0.21388	0.41532	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	292485	0.93884	0.17391	ANKRD65
ENSG00000205116	1	1361508	1363167	5	2	292485	0.98111	0.16327	TMEM88B
ENSG00000179403	1	1370241	1378262	3	1	292485	0.53073	0.2978	VWA1
ENSG00000215915	1	1385069	1405538	5	2	292485	1.1126	0.13294	ATAD3C
ENSG00000160072	1	1407143	1433228	29	6	292485	-0.33624	0.63165	ATAD3B
ENSG00000197785	1	1447531	1470067	68	7	292485	-0.53524	0.70376	ATAD3A
ENSG00000205090	1	1470554	1475833	6	2	292485	0.2788	0.3902	TMEM240
ENSG00000160075	1	1477053	1510249	98	7	292485	0.092399	0.46319	SSU72
ENSG00000215014	1	1510355	1511373	4	1	292485	0.4047	0.34285	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	292485	-0.50084	0.69176	C1orf233
ENSG00000197530	1	1550795	1565990	19	4	292485	0.31996	0.3745	MIB2
ENSG00000248333	1	1570603	1590473	19	3	292485	0.55602	0.2891	CDK11B
ENSG00000189339	1	1592939	1624167	20	5	292485	-0.0056717	0.50226	SLC35E2B
ENSG00000008128	1	1634169	1655766	30	2	292485	1.1163	0.13215	CDK11A
ENSG00000215790	1	1656277	1677431	7	2	292485	0.14465	0.44249	SLC35E2
ENSG00000008130	1	1682671	1711896	69	8	292485	-0.4684	0.68025	NADK
ENSG00000078369	1	1716729	1822495	152	14	292485	-0.75349	0.77442	GNB1
ENSG00000169885	1	1846266	1848735	11	3	292485	-0.96718	0.83327	CALML6
ENSG00000178821	1	1849029	1850712	6	2	292485	-0.82094	0.79416	TMEM52
ENSG00000142609	1	1853396	1935276	222	20	292485	0.061857	0.47534	C1orf222
ENSG00000187730	1	1950780	1962192	12	1	292485	0.89302	0.18592	GABRD
ENSG00000067606	1	1981909	2116834	434	37	292485	0.63145	0.26387	PRKCZ
ENSG00000162585	1	2115903	2144159	54	11	292485	0.73237	0.23197	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	292485	0.85279	0.19689	AL590822.2
ENSG00000203301	1	2143360	2145620	1	1	292485	1.349	0.088668	AL590822.1
ENSG00000157933	1	2160134	2241558	206	31	292485	1.4289	0.076512	SKI
ENSG00000116151	1	2252692	2323146	288	42	292485	1.5424	0.061486	MORN1
ENSG00000269753	1	2258581	2259042	2	1	292485	1.0351	0.15032	AL589739.1
ENSG00000157916	1	2323267	2336883	34	9	292485	0.30188	0.38137	RER1
ENSG00000157911	1	2336236	2345236	22	7	292485	0.98969	0.16116	PEX10
ENSG00000149527	1	2357419	2436969	213	34	292485	2.9194	0.0017536	PLCH2
ENSG00000157881	1	2439972	2458039	39	5	292485	0.65842	0.25514	PANK4
ENSG00000197921	1	2460184	2461684	3	2	292485	1.9016	0.028613	HES5
ENSG00000157873	1	2487078	2496821	22	4	292485	0.38313	0.35081	TNFRSF14
ENSG00000157870	1	2517930	2522908	11	4	292485	1.1921	0.11662	FAM213B
ENSG00000142606	1	2522078	2564481	180	9	292485	0.76475	0.22221	MMEL1
ENSG00000215912	1	2567415	2718286	286	18	292485	0.75072	0.22641	TTC34
ENSG00000169717	1	2938046	2939465	6	2	292485	0.49341	0.31086	ACTRT2
ENSG00000142611	1	2985732	3355185	1203	160	292485	1.3758	0.084436	PRDM16
ENSG00000130762	1	3370990	3397677	87	8	292485	2.1689	0.015046	ARHGEF16
ENSG00000162591	1	3406484	3528059	413	65	292485	0.81044	0.20884	MEGF6
ENSG00000158109	1	3541566	3546691	17	5	292485	-0.52026	0.69856	TPRG1L
ENSG00000116213	1	3547331	3569325	52	12	292485	0.047981	0.48087	WRAP73
ENSG00000078900	1	3569084	3652765	248	41	292485	0.29738	0.38309	TP73
ENSG00000162592	1	3668962	3688209	58	10	292485	-0.71002	0.76115	CCDC27
ENSG00000235169	1	3689352	3692546	11	5	292485	0.2193	0.41321	SMIM1
ENSG00000130764	1	3696784	3713068	79	13	292485	0.5527	0.29024	LRRC47
ENSG00000116198	1	3728645	3773778	309	21	292485	1.2386	0.10774	CEP104
ENSG00000169598	1	3773845	3801993	139	16	292485	0.74859	0.22705	DFFB
ENSG00000198912	1	3805689	3816857	48	7	292485	-0.36714	0.64324	C1orf174
ENSG00000196581	1	4714792	4852594	662	88	292485	1.4585	0.072358	AJAP1
ENSG00000131697	1	5922871	6052533	422	26	292485	0.78983	0.21481	NPHP4
ENSG00000069424	1	6051526	6161253	278	51	292485	-0.087772	0.53497	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	292485	-0.085438	0.53404	AL035406.1
ENSG00000116254	1	6161853	6240183	286	34	292485	-1.1916	0.8833	CHD5
ENSG00000116251	1	6241329	6269449	54	9	292485	-0.41052	0.65929	RPL22
ENSG00000158286	1	6265535	6281359	36	4	292485	-1.4046	0.91993	RNF207
ENSG00000116237	1	6281253	6296032	31	5	292485	-2.1845	0.98554	ICMT
ENSG00000173673	1	6304252	6305638	3	2	292485	0.45347	0.3251	HES3
ENSG00000158292	1	6307406	6321035	36	3	292485	0.21173	0.41616	GPR153
ENSG00000097021	1	6324329	6454451	462	33	292485	-1.1203	0.86872	ACOT7
ENSG00000069812	1	6472478	6484730	40	6	292485	-0.79606	0.787	HES2
ENSG00000187017	1	6484848	6521430	115	11	292485	-1.0775	0.85938	ESPN
ENSG00000215788	1	6521211	6526255	11	3	292485	-0.57496	0.71734	TNFRSF25
ENSG00000171680	1	6526152	6580121	137	20	292485	-0.6153	0.73082	PLEKHG5
ENSG00000162408	1	6581407	6614595	121	2	292485	-1.0275	0.84791	NOL9
ENSG00000173662	1	6615241	6639817	44	8	292485	-2.6219	0.99563	TAS1R1
ENSG00000204859	1	6640061	6649340	13	5	292485	1.2944	0.097764	ZBTB48
ENSG00000162413	1	6650784	6674667	49	10	292485	1.283	0.099744	KLHL21
ENSG00000116273	1	6673745	6684093	21	4	292485	1.0723	0.1418	PHF13
ENSG00000041988	1	6684926	6695646	34	6	292485	2.6453	0.0040814	THAP3
ENSG00000007923	1	6694228	6761984	159	17	292485	2.1561	0.015537	DNAJC11
ENSG00000171735	1	6845384	7829766	2652	230	292485	1.2509	0.10548	CAMTA1
ENSG00000049245	1	7831329	7841492	38	9	292485	-0.26634	0.60501	VAMP3
ENSG00000049246	1	7844380	7905237	249	27	292485	0.095349	0.46202	PER3
ENSG00000049247	1	7903143	7913572	38	12	292485	0.43749	0.33088	UTS2
