# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = GO_bp:go_glial_cell_fate_commitment (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.78268e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000197921     1    2460184    2461684      3       2  292485       1.7691     0.028613    2.3537e-14       1.7691
_SET1_   ENSG00000162367     1   47681962   47697892     35       7  292485       2.0873     0.010942    2.3537e-14       2.0873
_SET1_   ENSG00000168036     3   41236328   41301587    108      12  292485       1.3732     0.053701    2.3537e-14       1.3732
_SET1_   ENSG00000181449     3  181429714  181432221      1       1  292485      0.76324      0.20202    2.3537e-14      0.76324
_SET1_   ENSG00000137270     6   52991762   53013627     82      15  292485       1.2239     0.073386    2.3537e-14       1.2239
_SET1_   ENSG00000157168     8   31496902   32622548   3747     171  292485       1.6464    0.0073021    2.3537e-14       1.6464
_SET1_   ENSG00000110693    11   15987995   16761138   1640      69  292485       1.6285     0.011976    2.3537e-14       1.6285
_SET1_   ENSG00000007372    11   31806340   31839509     46       6  292485       4.8495   2.2383e-07    2.3981e-14       4.8495
_SET1_   ENSG00000139352    12  103351464  103354294      5       2  292485       1.1162      0.10533    2.3537e-14       1.1162
_SET1_   ENSG00000005513    16    1031808    1036979     24       6  292485      0.98919      0.11743    2.3537e-14      0.98919
_SET1_   ENSG00000082641    17   46125691   46138849     32       7  292485       1.0908     0.099052    2.3537e-14       1.0908
_SET1_   ENSG00000125398    17   70117161   70122561      9       3  292485       1.2684     0.073429    2.3537e-14       1.2684
_SET1_   ENSG00000125820    20   21491648   21494664      6       3  292485       1.2031     0.090295    2.3537e-14       1.2031
_SET1_   ENSG00000205927    21   34398153   34401504      8       3  292485      -1.2343      0.85389    2.3537e-14      -1.2343

# _SET2_  VARIABLE = GO_bp:go_regulation_of_neutrophil_degranulation (set)
# _SET2_  NGENES = 7
# _SET2_  P-VALUE = 2.3601e-06
_SET2_   GENE              CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000169403     1  28473677  28520447     52      11  292485    -0.066332      0.43948    2.3564e-14    -0.066332
_SET2_   ENSG00000165025     9  93564069  93660831    442      57  292485      0.04811      0.34577    2.3571e-14      0.04811
_SET2_   ENSG00000169896    16  31271311  31344213    171      11  292485      -0.3846      0.55846    2.3592e-14      -0.3846
_SET2_   ENSG00000159842    17    906758   1132315    842     112  292485       0.9847     0.076287    2.3537e-14       0.9847
_SET2_   ENSG00000133246    19   8554940   8567996     29       7  292485       2.0929     0.010815    2.3537e-14       2.0929
_SET2_   ENSG00000160255    21  46305868  46351904    170      41  292485      0.87968      0.12094    2.3537e-14      0.87968
_SET2_   ENSG00000186716    22  23521891  23660224    412      42  292485      0.19048      0.29899    2.3564e-14      0.19048

# _SET3_  VARIABLE = GO_bp:go_regulation_of_neutrophil_activation (set)
# _SET3_  NGENES = 10
# _SET3_  P-VALUE = 1.7483e-06
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   ENSG00000169403     1   28473677   28520447     52      11  292485    -0.066332      0.43948    2.3564e-14    -0.066332
_SET3_   ENSG00000072694     1  161551101  161648444     40      10  292485   -0.0062577      0.42494    2.3568e-14   -0.0062577
_SET3_   ENSG00000165025     9   93564069   93660831    442      57  292485      0.04811      0.34577    2.3571e-14      0.04811
_SET3_   ENSG00000169896    16   31271311   31344213    171      11  292485      -0.3846      0.55846    2.3592e-14      -0.3846
_SET3_   ENSG00000159842    17     906758    1132315    842     112  292485       0.9847     0.076287    2.3537e-14       0.9847
_SET3_   ENSG00000030582    17   42422614   42430470      5       2  292485      -1.6098      0.92712    2.3537e-14      -1.6098
_SET3_   ENSG00000167851    17   72462555   72480933     97      16  292485       1.5558     0.036058    2.3537e-14       1.5558
_SET3_   ENSG00000133246    19    8554940    8567996     29       7  292485       2.0929     0.010815    2.3537e-14       2.0929
_SET3_   ENSG00000160255    21   46305868   46351904    170      41  292485      0.87968      0.12094    2.3537e-14      0.87968
_SET3_   ENSG00000186716    22   23521891   23660224    412      42  292485      0.19048      0.29899    2.3564e-14      0.19048
