ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000117713	ARID1A	1	27022524	27108595	1	protein_coding	8289	ARID1A	0.999999996642687	NA	5	16.93	8.07503e-06	rs6680053	1
ENSG00000060642	PIGV	1	27113963	27124889	1	protein_coding	55650	PIGV	7.2042376998992e-06	-0.68166312	2	1.044	8.07503e-06	rs6680053	1
ENSG00000204160	ZDHHC18	1	27153201	27184093	1	protein_coding	84243	ZDHHC18	0.00119784993745536	-0.617092024	1	7.976	7.60508e-06	rs6680053	1
ENSG00000175793	SFN	1	27189633	27190947	1	protein_coding	2810	SFN	0.490890062387915	-0.168902877	2	7.976	5.86272e-06	rs6680053	1
ENSG00000142751	GPN2	1	27202624	27216788	-1	protein_coding	54707	GPN2	0.0369234540989058	-1.958317123	3	4.184	3.9153e-06	rs6680053	1
ENSG00000198746	GPATCH3	1	27216979	27226957	-1	protein_coding	63906	GPATCH3	6.05252012288109e-07	-0.706577771	2	4.184	3.9153e-06	rs6680053	1
ENSG00000090273	NUDC	1	27226729	27273353	1	protein_coding	10726	NUDC	0.822775133437605	0.218790394	7	8.384	3.1712e-05	rs6680053	1
ENSG00000131910	NR0B2	1	27237980	27240457	-1	protein_coding	8431	NR0B2	5.83479715619009e-08	0.042014117	1	3.674	4.60691e-05	rs6680053	1
ENSG00000175707	C1orf172	1	27276053	27286897	-1	protein_coding	126695	C1orf172	0.153805473990332	-0.577041956	4	8.384	3.1712e-05	rs6680053	1
ENSG00000253368	TRNP1	1	27320198	27327389	1	protein_coding	388610	TRNP1	NA	-0.788185814	2	9.705	3.88989e-05	rs6680053	1
ENSG00000158246	FAM46B	1	27331511	27339327	-1	protein_coding	115572	FAM46B	0.0511898745130631	-0.345795646	1	0.646	3.88989e-05	rs6680053	1
ENSG00000214595	EML6	2	54950636	55199157	1	protein_coding	400954	EML6	0.44303244895019	0.841628904	19	12.38	5.85049e-08	rs10166518;rs72795440;rs1822616	3
