GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	62	11	305495	-0.10415	0.54147	SAMD11
ENSG00000268179	1	861264	866445	21	4	305495	0.31669	0.37574	AL645608.1
ENSG00000188976	1	879584	894689	50	6	305495	-0.85308	0.80319	NOC2L
ENSG00000187961	1	895967	901095	28	5	305495	-1.1578	0.87652	KLHL17
ENSG00000187583	1	901877	911245	24	8	305495	-0.3571	0.63949	PLEKHN1
ENSG00000187642	1	910579	917497	21	5	305495	-1.2907	0.90159	C1orf170
ENSG00000188290	1	934342	935552	4	2	305495	-2.983	0.99857	HES4
ENSG00000187608	1	948803	949920	6	2	305495	-0.96024	0.83153	ISG15
ENSG00000188157	1	955503	991496	95	10	305495	0.31782	0.37531	AGRN
ENSG00000237330	1	1006346	1009687	7	2	305495	-1.0545	0.85418	RNF223
ENSG00000131591	1	1017198	1051741	118	10	305495	0.9885	0.16145	C1orf159
ENSG00000162571	1	1109264	1133315	146	16	305495	0.28301	0.38858	TTLL10
ENSG00000186891	1	1138888	1142071	8	2	305495	-1.2021	0.88534	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	305495	-0.85243	0.80301	TNFRSF4
ENSG00000078808	1	1152288	1167411	95	4	305495	0.34777	0.36401	SDF4
ENSG00000176022	1	1167629	1170421	7	2	305495	-0.14688	0.55838	B3GALT6
ENSG00000184163	1	1177826	1182102	12	2	305495	0.53992	0.29463	FAM132A
ENSG00000160087	1	1189289	1209265	63	9	305495	1.5076	0.065829	UBE2J2
ENSG00000162572	1	1215816	1227409	44	12	305495	1.0336	0.15066	SCNN1D
ENSG00000131584	1	1227756	1244989	61	10	305495	2.0072	0.022362	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	305495	1.3956	0.08141	PUSL1
ENSG00000127054	1	1246965	1260071	16	3	305495	1.1294	0.12937	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	305495	1.0202	0.15382	GLTPD1
ENSG00000169962	1	1266694	1270686	14	4	305495	0.2879	0.38671	TAS1R3
ENSG00000107404	1	1270656	1284730	41	7	305495	0.43739	0.33091	DVL1
ENSG00000162576	1	1288069	1297157	30	4	305495	0.86287	0.1941	MXRA8
ENSG00000175756	1	1309110	1310875	6	3	305495	0.83985	0.2005	AURKAIP1
ENSG00000221978	1	1321091	1334708	22	5	305495	0.18711	0.42579	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	305495	-0.15162	0.56026	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	15	5	305495	-0.0245	0.50977	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	305495	0.57847	0.28147	ANKRD65
ENSG00000205116	1	1361508	1363167	5	2	305495	-1.1683	0.87866	TMEM88B
