GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs6680053	1	27278521	rs3010110	2021-07-28	33491795	Timmer T	2021-01-25	Vox Sang	www.ncbi.nlm.nih.gov/pubmed/33491795	Genetic determinants of ferritin, haemoglobin levels and haemoglobin trajectories: results from Donor InSight.	Ferritin levels	2,649 European ancestry individuals	NA	1p36.11	KDF1	KDF1			ENSG00000175707	NA	NA	rs3010110-A	rs3010110	0	3010110	missense_variant	0	0.261	6E-7	6.22184874961636		0.12	[0.17-0.07] unit decrease	Affymetrix [7435577] (imputed)	N
2	rs1607581	2	22067213	rs1022376	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking initiation (ever regular vs never regular) (MTAG)	up to 1,359,002 European ancestry individuals	NA	2p24.1	NR	LINC01822 - RN7SL117P	ENSG00000229621	ENSG00000264192		133685	78652	rs1022376-C	rs1022376	0	1022376	intron_variant	1	0.516	5E-11	10.301029995664		0.00724979	[0.0051-0.0094] unit decrease	NR [9732723] (imputed)	N
2	rs1607581	2	22067213	rs1022376	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Smoking initiation (ever regular vs never regular)	up to 1,232,091 European ancestry individuals	NA	2p24.1	NR	LINC01822 - RN7SL117P	ENSG00000229621	ENSG00000264192		133685	78652	rs1022376-C	rs1022376	0	1022376	intron_variant	1	0.515821	2E-8	7.69897000433602	(Conditioned on chr2:22582968)	0.014744839	[0.0096-0.0199] unit decrease	NR [~ 10000000] (imputed)	N
2	rs1607581	2	22067213	rs1022376	2021-11-02	34446935	Karlsson Linner R	2021-08-26	Nat Neurosci	www.ncbi.nlm.nih.gov/pubmed/34446935	Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.	Externalizing behaviour (multivariate analysis)	up to 53,293 European ancestry Attention-deficit/hyperactivity disorder individuals, up to 164,684 European ancestry problematic alcohol use individuals, up to 186,875 European ancestry lifetime cannabis use individuals, up to 357,187 European ancestry individuals measuring  reverse-coded age at first sexual intercourse, up to 336,121 European ancestry individuals measuring number of sexual partners, up to 426,379 European ancestry individuals measuring general risk tolerance, up to 1,251,809  European ancestry individuals measuring lifetime smoking initiation	NA	2p24.1		LINC01822 - RN7SL117P	ENSG00000229621	ENSG00000264192		133685	78652	rs1022376-T	rs1022376	0	1022376	intron_variant	1	0.473	6E-12	11.2218487496164		0.008	[0.006-0.01] unit increase	NR [NR] (imputed)	N
2	rs1607581	2	22173664	rs13409834	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Depressive symptoms	1,067,913 European ancestry individuals	228,033 European ancestry individuals	2p24.1	NR	RN7SL117P - NA	ENSG00000264192			27504	NA	rs13409834-G	rs13409834	0	13409834	intron_variant	1	0.498937605224899	4E-9	8.39794000867204		0.0055089006	[0.0037-0.0073] unit decrease	NR [NR]	N
2	rs1607581	2	22173664	rs13409834	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Well-being spectrum (multivariate analysis)	2,083,151 European ancestry individuals	287,239 European ancestry individuals	2p24.1	NR	RN7SL117P - NA	ENSG00000264192			27504	NA	rs13409834-G	rs13409834	0	13409834	intron_variant	1	0.498937605224899	4E-9	8.39794000867204		0.0053895703	[0.0036-0.0072] unit decrease	NR [NR]	N
2	rs1607581	2	22173664	rs13409834	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Positive affect	410,603 European ancestry individuals	NA	2p24.1	NR	RN7SL117P - NA	ENSG00000264192			27504	NA	rs13409834-G	rs13409834	0	13409834	intron_variant	1	0.498937605224899	5E-9	8.30102999566398		0.006619811	[0.0044-0.0088] unit decrease	NR [NR]	N
2	rs1607581	2	22173664	rs13409834	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2p24.1	NR	RN7SL117P - NA	ENSG00000264192			27504	NA	rs13409834-G	rs13409834	0	13409834	intron_variant	1	0.498937605224899	5E-9	8.30102999566398		0.008601716	[0.0057-0.0115] unit decrease	NR [NR]	N
3	rs72795440	2	55210605	rs17418675	2020-01-09	23823483	Rhee EP	2013-07-02	Cell Metab	www.ncbi.nlm.nih.gov/pubmed/23823483	A genome-wide association study of the human metabolome in a community-based cohort.	Metabolite levels	2,076 European ancestry individuals	NA	2p16.1	FLJ31438	RTN4			ENSG00000115310	NA	NA	rs17418675-?	rs17418675	0	17418675	intron_variant	0	NR	9E-6	5.04575749056068	(trimethylamine N oxide)	0.15579896	[0.087-0.225] unit increase	Affymetrix [at least 2500000] (imputed)	N
3	rs72795440	2	55251374	rs7601625	2022-08-30	32193382	Cole JB	2020-03-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Principal component-derived dietary pattern 19	449,210 European ancestry individuals	NA	2p16.1		RTN4			ENSG00000115310	NA	NA	rs7601625-G	rs7601625	0	7601625	intron_variant	0	0.561304	1E-8	8		0.0124095	[0.0081-0.0167] unit increase	NR [NR] (imputed)	N
